,roberta_neg,comment,pred_cat
0,0.4835834503173828,planning color lightweight cooler day lounging exactly large bigger pair legging color bit mind ve compliment,wrong size
1,0.4835834503173828,color bit sheer requires cami worn underneath biggest hang literally snagged wedding ring snagged necklace lanyard key,material issue
2,0.4835834503173828,hanes consider fixing neckline sweatshirt tight people issue head feel neck tight putting front ripped putting total time going adjust seam hood overlapping ll room shame sweatshirt star tight neck,material issue
3,0.4835834503173828,winter fabric color bit big,wrong size
4,0.4835834503173828,video player loading play videoplaymutecurrent time duration loaded stream type liveseek live currently liveliveremaining time xplayback ratechapterschaptersdescriptionsdescriptions selectedcaptionscaptions subtitle selectedaudio trackfullscreenthis modal window blue color multiple shade lighter stock photo blue color cuff sleeve bottom hoodie totally color body hoodie stock photo hoodie thickness person hoodie thinner thickness shirt half noticed kangaroo pocket front bit shortened compared average hoodie sleeve extra long average length hoodie bit disappointing receiving exactly advertised hand hoodie fairly decent wear doesn bad,wrong description
5,0.4835834503173828,friend daughter love bear hug wear kid sensory clothing,material issue
6,0.4835834503173828,reminds hoodie left eye group tlc wear,material issue
7,0.4835834503173828,excelente calidad,material issue
8,0.4835834503173828,husband jacket anniversary couldn happier heavy light absolutely,material issue
9,0.4835834503173828,sweater cousin birthday love frog mushroom hunt mushroom find sweater cutest picture green color bad,wrong description
10,0.4835834503173828,doesn picture shirt,wrong description
11,0.4835834503173828,basic jacket year son love plain simple,material issue
12,0.4835834503173828,didnt realize front pocket hoodie pocket comfort,material issue
13,0.4835834503173828,wear size small ordered medium wanted roomier wear pajama top cool weather camping glad body short boxy falling waistband sleeve long normal length arm fine medium weight fabric worn jacket colder weather decide order will size large size normal size relaxed fashionable appears model deal price order size,wrong size
14,0.4835834503173828,doesn cheap feeling going definitely will purchasing,material issue
15,0.4835834503173828,top material decent fit picture,wrong description
16,0.4835834503173828,thin side material wise cream version darker color,material issue
17,0.4835834503173828,happy purchase vibrant red color light weight material help cool day grocery store theater fit,material issue
18,0.4835834503173828,shirt expecting light nylon wear package shipped inch half thick read fine print,material issue
19,0.7156134247779846,oversized picture size size wear medium large roomy color ll size picture,wrong size
